le,operation,min,max,avg,sum,last,integral
21.544,DeleteOrganizationSamlApplications,0,0,0,0,0,0
21.544,DeleteOrganizationOAuthApplications,0,0,0,0,0,0
21.544,DeleteOAuthApplication,0,0,0,0,0,0
21.544,DeleteDomain,0,0,0,0,0,0
21.544,DeleteApplication,0,0,0,0,0,0
21.544,CreateUserpool,0,0,0,0,0,0
21.544,CreateSamlApplication,0,0,0,0,0,0
21.544,CreateOAuthApplication,0,0,0,0,0,0
21.544,AddDomain,0,0,0,0,0,0
14.678,UpdateUserpoolAccessBindings,0,0,0,0,0,0
14.678,UpdateUserpool,0,0,0,0,0,0
